id;x;y;z;size;shape;color
M;14.8;11.2;2010;2010;1;0000FF
M;15.1;12.9;2011;2011;1;0000FF
M;13.4;12.8;2012;2012;1;0000FF
M;16;13.3;2013;2013;1;0000FF
M;13.6;12.5;2014;2014;1;0000FF
M;11.2;10.7;2015;2015;1;0000FF
M;10.9;16.2;2016;2016;1;0000FF
M;14.4615;18.0263;2017;2017;1;0000FF
M;14.51;17.97;2018;2018;1;0000FF
M;15.0566037735849;17.8490566037736;2019;2019;1;0000FF
M;16.4;16.06;2020;2020;1;0000FF
M;15.97;15.78;2021;2021;1;0000FF
Q;12;9.7;2010;2010;3;00FF00
Q;11.7;11.5;2011;2011;3;00FF00
Q;13;10.8;2012;2012;3;00FF00
Q;15.1;11.5;2013;2013;3;00FF00
Q;14;12.3;2014;2014;3;00FF00
Q;12.1;10.7;2015;2015;3;00FF00
Q;11.2;13.8;2016;2016;3;00FF00
Q;10.6374;12.0833;2017;2017;3;00FF00
Q;11.15;15.93;2018;2018;3;00FF00
Q;10.6792452830189;14.4150943396226;2019;2019;3;00FF00
Q;10.65;12.706;2020;2020;3;00FF00
Q;10.29;13.64;2021;2021;3;00FF00
T;10.1;5.5;2010;2010;2;FF0000
T;11.2;7;2011;2011;2;FF0000
T;14.5;8.1;2012;2012;2;FF0000
T;15.3;10.3;2013;2013;2;FF0000
T;15.3;12.3;2014;2014;2;FF0000
T;14.6;11.1;2015;2015;2;FF0000
T;11.8;12.9;2016;2016;2;FF0000
T;14.5934;14.4298;2017;2017;2;FF0000
T;14.54;13.38;2018;2018;2;FF0000
T;13.8867924528302;13.6981132075472;2019;2019;2;FF0000
T;15.05;13.51;2020;2020;2;FF0000
T;12.8;13.29;2021;2021;2;FF0000
